FIPS,State.x,Area name,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18",Economic_typology_2015,POP_ESTIMATE_2010,POP_ESTIMATE_2018,R_NATURAL_INC_2018,R_NET_MIG_2018,PCTPOVALL_2018,Unemployment_rate_2010,Unemployment_rate_2018,Median_Household_Income_2018,Unemployment_change,Population_percent_change
1001,AL,Autauga County,2,2,11.3,32.6,28.4,27.7,0,54754,55601,2.2,0.6,13.8,8.9,3.6,59338,-5.300000000000001,0.01546918946560982
1003,AL,Baldwin County,3,2,9.7,27.6,31.3,31.3,5,183111,218022,0.1,24.8,9.8,10,3.6,57588,-6.4,0.19065484869833052
1005,AL,Barbour County,6,6,27,35.7,25.1,12.2,3,27330,24881,-2.5,-8.6,30.9,12.3,5.2,34382,-7.1000000000000005,-0.08960848884010245
1007,AL,Bibb County,1,1,16.8,47.3,24.4,11.5,0,22872,22400,-0.3,-6.6,21.8,11.4,4,46064,-7.4,-0.020636586218957677
1009,AL,Blount County,1,1,19.8,34,33.5,12.6,0,57373,57840,0.3,0,13.2,9.8,3.5,50412,-6.300000000000001,0.008139717288620082
1011,AL,Bullock County,6,6,24.8,39.7,22.3,13.3,3,10878,10138,-0.5,-3.2,42.5,11.8,4.7,29267,-7.1000000000000005,-0.06802721088435375
1013,AL,Butler County,6,6,15.4,43.9,24.6,16.1,0,20942,19680,-0.9,-10.1,24.5,13.6,4.8,37365,-8.8,-0.0602616751026645
1015,AL,Calhoun County,3,2,15.9,32.4,33.7,18,4,118477,114277,-1.8,-1.6,19.5,11.4,4.7,45400,-6.7,-0.035449918549591904
1017,AL,Chambers County,6,5,18.6,38.4,29.7,13.2,0,34122,33615,-3.1,-1.1,18.7,14.9,3.9,39917,-11,-0.014858449094425883
1019,AL,Cherokee County,6,6,19.8,38.3,29,12.9,0,25974,26032,-4.7,13,16.3,10.6,3.6,42132,-7,0.002233002233002233
1021,AL,Chilton County,1,1,17.8,44.1,24,14.2,0,43653,44153,0.5,0.4,17.3,10.3,3.6,47547,-6.700000000000001,0.011453966508601929
1023,AL,Choctaw County,9,10,18.6,38.2,30.2,13,3,13849,12841,-3.3,-4,22.1,13.3,5.5,39907,-7.800000000000001,-0.07278503863094808
1025,AL,Clarke County,7,11,18.8,43.7,24.9,12.6,3,25765,23920,-1.7,-5.6,22.8,19.9,7.5,40741,-12.399999999999999,-0.07160877158936542
1027,AL,Clay County,9,10,24.5,36.3,29.1,10.2,3,13897,13275,-3.7,-3.2,17.6,14.5,3.9,39201,-10.6,-0.04475786140893718
1029,AL,Cleburne County,8,4,22.6,39.6,24.1,13.7,0,15004,14987,-2.1,7.6,16,10,4.2,46495,-5.8,-0.0011330311916822181
1031,AL,Coffee County,4,5,13.8,27.9,34.9,23.4,0,50205,51909,2.1,0.4,13.8,8.6,3.9,55122,-4.699999999999999,0.03394084254556319
1033,AL,Colbert County,3,2,15.6,36,29.7,18.7,0,54525,54762,-1.4,6,13.8,11.5,4.6,49055,-6.9,0.004346629986244842
1035,AL,Conecuh County,7,11,19.2,48.8,21.3,10.7,0,13234,12277,-4.6,-8.2,24.4,17.2,5.2,32613,-12,-0.0723137373432069
1037,AL,Coosa County,8,3,20.4,38.6,29.5,11.6,3,11782,10715,-3,-0.8,18.9,15.4,4.2,42423,-11.2,-0.09056187404515362
1039,AL,Covington County,6,6,17.1,35.4,32.5,14.9,0,37812,36986,-3,0.6,19.9,10.3,4.6,40203,-5.700000000000001,-0.021844916957579605
1041,AL,Crenshaw County,8,6,21.6,38.8,24,15.6,3,13874,13824,-2.9,0.2,19.5,10.2,4.1,39057,-6.1,-0.00360386334150209
1043,AL,Cullman County,4,3,18.2,35.6,32.4,13.7,0,80454,83442,-0.7,8.1,14.5,10.4,3.3,45796,-7.1000000000000005,0.037139234842270115
1045,AL,Dale County,4,5,14.2,32.7,36.1,17,3,50390,48956,2,-8.1,16.2,8.8,4.2,45309,-4.6000000000000005,-0.028458027386386187
1047,AL,Dallas County,4,5,19.3,35.2,30.4,15.1,3,43860,38310,-1.9,-22,31.4,16.9,6.5,34035,-10.399999999999999,-0.1265389876880985
1049,AL,DeKalb County,6,6,25.9,33.3,28.1,12.7,3,71159,71385,0.1,-0.4,21.3,12.7,3.8,39491,-8.899999999999999,0.00317598617181242
1051,AL,Elmore County,2,2,13.6,32.8,29,24.5,0,79577,81887,1,4.8,11.2,9.1,3.4,60367,-5.699999999999999,0.029028488130992625
1053,AL,Escambia County,6,6,18.5,44.5,24.4,12.7,0,38344,36748,-1.4,-5.5,23.6,11.8,4.6,38418,-7.200000000000001,-0.041623200500730234
1055,AL,Etowah County,3,2,15.5,32.9,33.9,17.7,0,104455,102501,-2.9,-1.3,17.5,10.9,4.1,44903,-6.800000000000001,-0.018706620075630655
1057,AL,Fayette County,6,6,17.6,41.5,27.9,12.9,0,17227,16433,-3.5,1.2,23.5,13,4.1,39254,-8.9,-0.04609043942648169
1059,AL,Franklin County,6,6,23.2,36.8,27.1,12.9,3,31745,31363,2,-9.2,19.2,10.7,3.7,39388,-6.999999999999999,-0.012033391085210269
1061,AL,Geneva County,3,2,20.9,37.2,30.8,11.1,0,26782,26314,-3.2,-0.4,21.3,10.4,3.9,37823,-6.5,-0.017474423120005973
1063,AL,Greene County,8,6,24.1,36.8,29,10.1,0,8995,8233,0.1,-10.3,30.1,17.3,6.7,28524,-10.600000000000001,-0.08471372984991662
1065,AL,Hale County,3,2,16.4,42.6,26.9,14.1,0,15745,14726,-1.4,-4.1,25.6,15.1,5.1,34724,-10,-0.0647189583994919
1067,AL,Henry County,3,2,19.8,33.5,28.7,18,0,17298,17209,-2.1,6.2,17.9,10.9,4.4,46027,-6.5,-0.005145103480171118
1069,AL,Houston County,3,2,14.3,31.6,33,21,0,101790,104722,0.9,2.5,16.5,9.1,4,47993,-5.1,0.02880440121819432
