FIPS Code,State,Area name,"Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18",POP_ESTIMATE_2010,POP_ESTIMATE_2018,R_NATURAL_INC_2018,R_NET_MIG_2018,PCTPOVALL_2018,Unemployment_rate_2010,Unemployment_rate_2018,Median_Household_Income_2018,geometry,Unemployment_change,Population_percent_change,2013 Rural-urban Continuum Code_2,2013 Rural-urban Continuum Code_3,2013 Rural-urban Continuum Code_4,2013 Rural-urban Continuum Code_5,2013 Rural-urban Continuum Code_6,2013 Rural-urban Continuum Code_7,2013 Rural-urban Continuum Code_8,2013 Rural-urban Continuum Code_9,2013 Urban Influence Code_10,2013 Urban Influence Code_11,2013 Urban Influence Code_12,2013 Urban Influence Code_2,2013 Urban Influence Code_3,2013 Urban Influence Code_4,2013 Urban Influence Code_5,2013 Urban Influence Code_6,2013 Urban Influence Code_7,2013 Urban Influence Code_8,2013 Urban Influence Code_9,Economic_typology_2015_1,Economic_typology_2015_2,Economic_typology_2015_3,Economic_typology_2015_4,Economic_typology_2015_5
01001,AL,Autauga County,11.3,32.6,28.4,27.7,54754,55601,2.2,0.6,13.8,8.9,3.6,59338,"POLYGON ((-86.91759499999999 32.664169, -86.71338999999999 32.661732, -86.714219 32.705694, -86.413116 32.707386, -86.41117199999999 32.409937, -86.459552 32.405441, -86.496774 32.344437, -86.71789699999999 32.402814, -86.78135399999999 32.392494, -86.816107 32.30997, -86.81491199999999 32.340803, -86.906403 32.536712, -86.91759499999999 32.664169))",-5.300000000000001,0.01546918946560982,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
01003,AL,Baldwin County,9.7,27.6,31.3,31.3,183111,218022,0.1,24.8,9.8,10.0,3.6,57588,"POLYGON ((-88.026319 30.753358, -87.944546 30.827046, -87.98126099999999 30.886895, -87.92429 30.935405, -87.965187 30.967784, -87.941152 31.048161, -87.97622199999999 31.089535, -87.94012099999999 31.147237, -87.972869 31.162694, -87.94658799999999 31.19293, -87.83592 31.231053, -87.804023 31.319017, -87.765152 31.297346, -87.714287 31.302117, -87.61588999999999 31.244458, -87.61552999999999 31.007724, -87.5988289462621 30.9974221769053, -87.59893699999999 30.997422, -87.59206399999999 30.95146, -87.63494299999999 30.865857, -87.54226799999999 30.767481, -87.52362099999999 30.738285, -87.442291 30.692661, -87.400189 30.657201, -87.401189 30.604383, -87.43145 30.550252, -87.444722 30.507484, -87.41468499999999 30.457289, -87.366601 30.436643, -87.43178399999999 30.403193, -87.452282 30.344097, -87.51832399999999 30.280435, -87.656888 30.249709, -87.818867 30.228314, -87.89320099999999 30.239237, -87.806466 30.279798, -87.796717 30.324198, -87.86501699999999 30.38345, -87.914136 30.446144, -87.93335499999999 30.487357, -87.90171099999999 30.550879, -87.91495599999999 30.585893, -87.93106999999999 30.652694, -88.00839599999999 30.684956, -88.026319 30.753358))",-6.4,0.19065484869833052,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
01005,AL,Barbour County,27.0,35.7,25.1,12.2,27330,24881,-2.5,-8.6,30.9,12.3,5.2,34382,"POLYGON ((-85.735732 31.624493, -85.66565399999999 31.786237, -85.657668 31.880275, -85.587344 31.997355, -85.42847599999999 32.014951, -85.410241 32.146651, -85.257834 32.147931, -85.18506699999999 32.061708, -85.0514111279128 32.062256083622, -85.06359054298468 31.991857, -85.067829 31.967358, -85.114031 31.89336, -85.141831 31.839261, -85.12915931558319 31.7802782680766, -85.1254405773425 31.7629687034183, -85.216076 31.702409, -85.416038 31.706664, -85.416437 31.619466, -85.748251 31.618048, -85.735732 31.624493))",-7.1000000000000005,-0.08960848884010245,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
01007,AL,Bibb County,16.8,47.3,24.4,11.5,22872,22400,-0.3,-6.6,21.8,11.4,4.0,46064,"POLYGON ((-87.421936 33.003379, -87.318539 33.006179, -87.28194499999999 33.13306, -87.19931699999999 33.130657, -87.199153 33.196554, -87.065738 33.246907, -87.02684599999999 33.246459, -87.02559599999999 33.165795, -86.881182 33.049901, -86.87611799999999 32.836264, -87.01915699999999 32.837034, -87.31918399999999 32.831522, -87.319473 32.875124, -87.4212 32.874508, -87.421936 33.003379))",-7.4,-0.020636586218957677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01009,AL,Blount County,19.8,34.0,33.5,12.6,57373,57840,0.3,0.0,13.2,9.8,3.5,50412,"POLYGON ((-86.963358 33.858221, -86.924387 33.909222, -86.793914 33.952059, -86.68536499999999 34.05914, -86.69247399999999 34.092405, -86.601147 34.11904, -86.604311 34.125112, -86.587614 34.138331, -86.57396899999999 34.165436, -86.56385 34.170493, -86.51892699999999 34.25232099999999, -86.45302 34.259317, -86.303516 34.099073, -86.33239399999999 34.040499, -86.37015199999999 33.93977, -86.325622 33.940147, -86.345822 33.882894, -86.405981 33.835896, -86.577528 33.801977, -86.577799 33.765316, -86.64529 33.773012, -86.75914399999999 33.840617, -86.88394699999999 33.843237, -86.95366399999999 33.815297, -86.963358 33.858221))",-6.300000000000001,0.008139717288620082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01011,AL,Bullock County,24.8,39.7,22.3,13.3,10878,10138,-0.5,-3.2,42.5,11.8,4.7,29267,"POLYGON ((-85.999157 32.250543, -85.98655699999999 32.272342, -85.919293 32.274382, -85.89868899999999 32.274987, -85.898844 32.305171, -85.856218 32.231975, -85.433543 32.234648, -85.427441 32.146551, -85.410241 32.146651, -85.42847599999999 32.014951, -85.587344 31.997355, -85.657668 31.880275, -85.79104699999999 31.880357, -85.790048 31.967254, -85.88435 31.967253, -85.893652 32.047351, -85.946298 32.06189, -85.996853 32.051049, -85.99785899999999 32.141605, -85.999157 32.250543))",-7.1000000000000005,-0.06802721088435375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
01013,AL,Butler County,15.4,43.9,24.6,16.1,20942,19680,-0.9,-10.1,24.5,13.6,4.8,37365,"POLYGON ((-86.90893899999999 31.961673, -86.85758299999999 31.962167, -86.44819799999999 31.964629, -86.448635 31.655617, -86.499533 31.655247, -86.499213 31.525331, -86.701554 31.523946, -86.83938599999999 31.525204, -86.906769 31.632671, -86.90589899999999 31.753035, -86.906899 31.830628, -86.90893899999999 31.961673))",-8.8,-0.0602616751026645,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
01015,AL,Calhoun County,15.9,32.4,33.7,18.0,118477,114277,-1.8,-1.6,19.5,11.4,4.7,45400,"POLYGON ((-86.145562 33.679098, -86.043993 33.763595, -86.06527199999999 33.842198, -86.026764 33.851751, -85.99516899999999 33.864897, -85.96916999999999 33.914598, -85.84617399999999 33.95726, -85.740968 33.935301, -85.738975 33.96846, -85.542214 33.956732, -85.53009399999999 33.941423, -85.532482 33.889152, -85.638049 33.773339, -85.63857899999999 33.648413, -85.796054 33.55622, -85.79455899999999 33.585565, -85.994935 33.586475, -86.050669 33.67459, -86.145562 33.679098))",-6.7,-0.035449918549591904,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
01017,AL,Chambers County,18.6,38.4,29.7,13.2,34122,33615,-3.1,-1.1,18.7,14.9,3.9,39917,"POLYGON ((-85.593177 33.10734, -85.23244140518729 33.1080770939336, -85.23244099999999 33.108075, -85.18611740178919 32.8701382699716, -85.18440000000001 32.861317, -85.160963 32.82667199999999, -85.1245332227506 32.7516296067514, -85.285043 32.730731, -85.57495399999999 32.73634699999999, -85.59315099999999 32.72853, -85.593177 33.10734))",-11.0,-0.014858449094425883,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01019,AL,Cherokee County,19.8,38.3,29.0,12.9,25974,26032,-4.7,13.0,16.3,10.6,3.6,42132,"POLYGON ((-85.843801 34.244595, -85.774165 34.259094, -85.627512 34.39592, -85.559282 34.502255, -85.51304422927329 34.5239464713237, -85.502471 34.474526, -85.4751472811043 34.3436846578762, -85.46314082477579 34.2861909885055, -85.42949899999999 34.125095, -85.4210731752288 34.0808126526072, -85.39887124484201 33.9641292867795, -85.495289 33.95691, -85.53009399999999 33.941423, -85.542214 33.956732, -85.738975 33.96846, -85.797651 34.105657, -85.84146799999999 34.111096, -85.84361699999999 34.200006, -85.843801 34.244595))",-7.0,0.002233002233002233,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
